player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,SSC Napoli,Serie A,1992-01-01T00:00:00Z,1995-01-01T00:00:00Z,58
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Italy national under-21 football team,,1993-01-01T00:00:00Z,1996-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Parma Calcio 1913,Serie A,1995-01-01T00:00:00Z,2002-01-01T00:00:00Z,212
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Italy men's national association football team,,1997-01-01T00:00:00Z,2010-01-01T00:00:00Z,136
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Inter Milan,Serie A,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,50
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Juventus FC,Serie A,2004-01-01T00:00:00Z,2006-01-01T00:00:00Z,74
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Real Madrid Club de Fútbol,La Liga,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z,94
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Juventus FC,Serie A,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z,27
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Shabab AlAhli Dubai Club,UAE Pro League,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,16
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Real Sociedad B,LaLiga 2,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z,54
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Real Sociedad,La Liga,2011-01-01T00:00:00Z,2018-01-01T00:00:00Z,205
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Basque Country regional football team,,2011-01-01T00:00:00Z,2019-01-01T00:00:00Z,8
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Spain national under-21 association football team,,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,15
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Spain national under-20 football team,,2011-01-01T00:00:00Z,2011-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Spain national under-23 football team,,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Spain men's national football team,,2013-01-01T00:00:00Z,2023-01-01T00:00:00Z,21
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Athletic Club,La Liga,2018-01-01T00:00:00Z,2023-01-01T00:00:00Z,152
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Futbol Club Barcelona,La Liga,2023-01-01T00:00:00Z,2025-01-01T00:00:00Z,48
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Al-Nassr,Saudi Pro League,2025-01-01T00:00:00Z,,0
http://www.wikidata.org/entity/Q104454,Mario Götze,Germany national under-15 football team,,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q104454,Mario Götze,Germany national under-16 football team,,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z,8
http://www.wikidata.org/entity/Q104454,Mario Götze,Germany national under-17 association football team,,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,13
http://www.wikidata.org/entity/Q104454,Mario Götze,Borussia Dortmund,Bundesliga,2009-01-01T00:00:00Z,2013-01-01T00:00:00Z,83
http://www.wikidata.org/entity/Q104454,Mario Götze,Germany national under-21 football team,,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q104454,Mario Götze,Germany men's national association football team,,2010-01-01T00:00:00Z,2023-01-01T00:00:00Z,66
http://www.wikidata.org/entity/Q104454,Mario Götze,FC Bayern Munich,Bundesliga,2013-01-01T00:00:00Z,2016-01-01T00:00:00Z,73
http://www.wikidata.org/entity/Q104454,Mario Götze,Borussia Dortmund,Bundesliga,2016-01-01T00:00:00Z,2020-06-01T00:00:00Z,75
http://www.wikidata.org/entity/Q104454,Mario Götze,PSV Eindhoven,Eredivisie,2020-10-01T00:00:00Z,2022-06-01T00:00:00Z,47
http://www.wikidata.org/entity/Q104454,Mario Götze,Eintracht Frankfurt,Bundesliga,2022-06-01T00:00:00Z,,93
http://www.wikidata.org/entity/Q10524481,Irune Murua,Athletic Club,La Liga,2003-01-01T00:00:00Z,2017-01-01T00:00:00Z,314
http://www.wikidata.org/entity/Q10524481,Irune Murua,Basque Country women's regional association football team,,2006-01-01T00:00:00Z,2012-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q106387,Stefan Kießling,1. FC Nürnberg,2. Bundesliga,2003-01-01T00:00:00Z,2006-01-01T00:00:00Z,73
http://www.wikidata.org/entity/Q106387,Stefan Kießling,Germany national under-20 football team,,2003-01-01T00:00:00Z,2003-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q106387,Stefan Kießling,Germany national football B team,,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q106387,Stefan Kießling,Germany national under-21 football team,,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,15
http://www.wikidata.org/entity/Q106387,Stefan Kießling,Bayer 04 Leverkusen,Bundesliga,2006-01-01T00:00:00Z,2018-01-01T00:00:00Z,342
http://www.wikidata.org/entity/Q106387,Stefan Kießling,Germany men's national association football team,,2007-01-01T00:00:00Z,2010-01-01T00:00:00Z,6
http://www.wikidata.org/entity/Q107076,Torsten Frings,Alemannia Aachen,3. Liga,1994-01-01T00:00:00Z,1997-01-01T00:00:00Z,57
http://www.wikidata.org/entity/Q107076,Torsten Frings,SV Werder Bremen,Bundesliga,1997-01-01T00:00:00Z,2002-01-01T00:00:00Z,162
http://www.wikidata.org/entity/Q107076,Torsten Frings,Germany national under-21 football team,,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,6
http://www.wikidata.org/entity/Q107076,Torsten Frings,SV Werder Bremen II,3. Liga,1997-01-01T00:00:00Z,1997-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q107076,Torsten Frings,Germany national football B team,,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,5
http://www.wikidata.org/entity/Q107076,Torsten Frings,Germany national football Α2 team,,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z,5
http://www.wikidata.org/entity/Q107076,Torsten Frings,Germany men's national association football team,,2001-01-01T00:00:00Z,2009-01-01T00:00:00Z,79
http://www.wikidata.org/entity/Q107076,Torsten Frings,Borussia Dortmund,Bundesliga,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,47
http://www.wikidata.org/entity/Q107076,Torsten Frings,FC Bayern Munich,Bundesliga,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,29
http://www.wikidata.org/entity/Q107076,Torsten Frings,SV Werder Bremen,Bundesliga,2005-01-01T00:00:00Z,2011-01-01T00:00:00Z,164
http://www.wikidata.org/entity/Q107076,Torsten Frings,Toronto FC,Major League Soccer,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,33
http://www.wikidata.org/entity/Q107365,Manuel Neuer,Germany national under-19 football team,,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q107365,Manuel Neuer,Germany national under-18 football team,,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q107365,Manuel Neuer,FC Schalke 04 II,Regionalliga West,2004-01-01T00:00:00Z,2008-01-01T00:00:00Z,26
http://www.wikidata.org/entity/Q107365,Manuel Neuer,Germany national under-20 football team,,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q107365,Manuel Neuer,Schalke 04,2. Bundesliga,2006-01-01T00:00:00Z,2011-01-01T00:00:00Z,156
http://www.wikidata.org/entity/Q107365,Manuel Neuer,Germany national under-21 football team,,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z,20
http://www.wikidata.org/entity/Q107365,Manuel Neuer,Germany men's national association football team,,2009-01-01T00:00:00Z,2024-01-01T00:00:00Z,124
http://www.wikidata.org/entity/Q107365,Manuel Neuer,FC Bayern Munich,Bundesliga,2011-01-01T00:00:00Z,,376
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,England national under-18 association football team,,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,England national under-19 association football team,,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Manchester City F.C.,Premier League,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,0
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,England national under-20 association football team,,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,England national under-21 association football team,,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Barnsley F.C.,EFL League One,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,3
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Barnsley F.C.,EFL League One,2010-08-01T00:00:00Z,2011-01-01T00:00:00Z,39
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Burnley F.C.,Premier League,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,25
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Burnley F.C.,Premier League,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,145
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Tottenham Hotspur F.C.,Premier League,2015-01-01T00:00:00Z,2019-01-01T00:00:00Z,69
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,England men's national association football team,,2017-01-01T00:00:00Z,2024-01-01T00:00:00Z,54
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Atlético Madrid,La Liga,2019-01-01T00:00:00Z,2022-01-01T00:00:00Z,68
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Newcastle United F.C.,Premier League,2022-01-01T00:00:00Z,,106
http://www.wikidata.org/entity/Q1083627,James Hayter,AFC Bournemouth,Premier League,1997-01-01T00:00:00Z,2007-01-01T00:00:00Z,359
http://www.wikidata.org/entity/Q1083627,James Hayter,Salisbury City F.C.,National League South,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,8
http://www.wikidata.org/entity/Q1083627,James Hayter,Doncaster Rovers F.C.,EFL League One,2007-01-01T00:00:00Z,2012-01-01T00:00:00Z,162
http://www.wikidata.org/entity/Q1083627,James Hayter,Yeovil Town F.C.,National League South,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,119
http://www.wikidata.org/entity/Q1083627,James Hayter,Havant & Waterlooville F.C.,National League South,2015-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q10855654,Ángel Correa,San Lorenzo de Almagro,Argentine Primera División,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,48
http://www.wikidata.org/entity/Q10855654,Ángel Correa,San Lorenzo de Almagro,Metropolitano de Hockey (men),2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,48
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Atlético Madrid,La Liga,2014-01-01T00:00:00Z,2025-01-01T00:00:00Z,335
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Argentina men's national association football team,,2015-01-01T00:00:00Z,,28
