player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,SSC Napoli,Serie A,1992-01-01T00:00:00Z,1995-01-01T00:00:00Z,58
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Parma Calcio 1913,Serie A,1995-01-01T00:00:00Z,2002-01-01T00:00:00Z,212
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Inter Milan,Serie A,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,50
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Juventus FC,Serie A,2004-01-01T00:00:00Z,2006-01-01T00:00:00Z,74
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Real Madrid Club de Fútbol,La Liga,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z,94
http://www.wikidata.org/entity/Q102027,Fabio Cannavaro,Juventus FC,Serie A,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z,27
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Real Sociedad,La Liga,2011-01-01T00:00:00Z,2018-01-01T00:00:00Z,205
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Athletic Club,La Liga,2018-01-01T00:00:00Z,2023-01-01T00:00:00Z,152
http://www.wikidata.org/entity/Q1028020,Iñigo Martínez,Futbol Club Barcelona,La Liga,2023-01-01T00:00:00Z,2025-01-01T00:00:00Z,48
http://www.wikidata.org/entity/Q104454,Mario Götze,Borussia Dortmund,Bundesliga,2009-01-01T00:00:00Z,2013-01-01T00:00:00Z,83
http://www.wikidata.org/entity/Q104454,Mario Götze,FC Bayern Munich,Bundesliga,2013-01-01T00:00:00Z,2016-01-01T00:00:00Z,73
http://www.wikidata.org/entity/Q104454,Mario Götze,Borussia Dortmund,Bundesliga,2016-01-01T00:00:00Z,2020-06-01T00:00:00Z,75
http://www.wikidata.org/entity/Q104454,Mario Götze,Eintracht Frankfurt,Bundesliga,2022-06-01T00:00:00Z,,93
http://www.wikidata.org/entity/Q10524481,Irune Murua,Athletic Club,La Liga,2003-01-01T00:00:00Z,2017-01-01T00:00:00Z,314
http://www.wikidata.org/entity/Q106387,Stefan Kießling,Bayer 04 Leverkusen,Bundesliga,2006-01-01T00:00:00Z,2018-01-01T00:00:00Z,342
http://www.wikidata.org/entity/Q107076,Torsten Frings,SV Werder Bremen,Bundesliga,1997-01-01T00:00:00Z,2002-01-01T00:00:00Z,162
http://www.wikidata.org/entity/Q107076,Torsten Frings,Borussia Dortmund,Bundesliga,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z,47
http://www.wikidata.org/entity/Q107076,Torsten Frings,FC Bayern Munich,Bundesliga,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z,29
http://www.wikidata.org/entity/Q107076,Torsten Frings,SV Werder Bremen,Bundesliga,2005-01-01T00:00:00Z,2011-01-01T00:00:00Z,164
http://www.wikidata.org/entity/Q107365,Manuel Neuer,FC Bayern Munich,Bundesliga,2011-01-01T00:00:00Z,,376
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Manchester City F.C.,Premier League,2009-01-01T00:00:00Z,2012-01-01T00:00:00Z,0
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Burnley F.C.,Premier League,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,25
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Burnley F.C.,Premier League,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,145
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Tottenham Hotspur F.C.,Premier League,2015-01-01T00:00:00Z,2019-01-01T00:00:00Z,69
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Atlético Madrid,La Liga,2019-01-01T00:00:00Z,2022-01-01T00:00:00Z,68
http://www.wikidata.org/entity/Q1083432,Kieran Trippier,Newcastle United F.C.,Premier League,2022-01-01T00:00:00Z,,106
http://www.wikidata.org/entity/Q1083627,James Hayter,AFC Bournemouth,Premier League,1997-01-01T00:00:00Z,2007-01-01T00:00:00Z,359
http://www.wikidata.org/entity/Q10855654,Ángel Correa,Atlético Madrid,La Liga,2014-01-01T00:00:00Z,2025-01-01T00:00:00Z,335
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,SSC Napoli,Serie A,1993-01-01T00:00:00Z,1997-01-01T00:00:00Z,125
http://www.wikidata.org/entity/Q1087530,Fabio Pecchia,Juventus FC,Serie A,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,21
